steps	reward	average action Q
22	0.000000	0.000000
45	0.000000	0.000000
66	0.000000	0.000000
88	0.000000	0.000000
110	0.000000	0.000000
131	0.000000	0.000000
155	0.000000	0.000000
187	0.000000	0.000000
301	3.000000	0.000000
324	0.000000	0.000000
345	0.000000	0.000000
369	0.000000	0.000000
439	1.000000	0.000000
460	0.000000	0.000000
481	0.000000	0.000000
504	0.000000	0.000000
525	0.000000	0.000000
598	1.000000	0.000000
619	0.000000	0.000000
640	0.000000	0.000000
661	0.000000	0.000000
682	0.000000	0.000000
732	1.000000	0.000000
754	0.000000	0.000000
777	0.000000	0.000000
798	0.000000	0.000000
820	0.000000	0.000000
842	0.000000	0.000000
863	0.000000	0.000000
888	0.000000	0.000000
909	0.000000	0.000000
933	0.000000	0.000000
954	0.000000	0.000000
976	0.000000	0.000000
1001	0.000000	0.000000
1029	0.000000	0.000000
1055	0.000000	0.000000
1076	0.000000	0.000000
1097	0.000000	0.000000
1147	1.000000	0.000000
1175	0.000000	0.000000
1244	1.000000	0.000000
1265	0.000000	0.000000
1287	0.000000	0.000000
1308	0.000000	0.000000
1332	0.000000	0.000000
1353	0.000000	0.000000
1374	0.000000	0.000000
1395	0.000000	0.000000
1418	0.000000	0.000000
1439	0.000000	0.000000
1509	1.000000	0.000000
1558	1.000000	0.000000
1579	0.000000	0.000000
1602	0.000000	0.000000
1682	2.000000	0.000000
1705	0.000000	0.000000
1727	0.000000	0.000000
1753	0.000000	0.000000
1774	0.000000	0.000000
1795	0.000000	0.000000
1816	0.000000	0.000000
1839	0.000000	0.000000
1860	0.000000	0.000000
1881	0.000000	0.000000
1905	0.000000	0.000000
1926	0.000000	0.000000
1977	1.000000	0.000000
2000	0.000000	0.000000
2021	0.000000	0.000000
2044	0.000000	0.000000
2066	0.000000	0.000000
2089	0.000000	0.000000
2110	0.000000	0.000000
2131	0.000000	0.000000
2152	0.000000	0.000000
2173	0.000000	0.000000
2195	0.000000	0.000000
2218	0.000000	0.000000
2337	2.000000	0.000000
2361	0.000000	0.000000
2382	0.000000	0.000000
2409	0.000000	0.000000
2430	0.000000	0.000000
2458	0.000000	0.000000
2479	0.000000	0.000000
2501	0.000000	0.000000
2523	0.000000	0.000000
2544	0.000000	0.000000
2566	0.000000	0.000000
2587	0.000000	0.000000
2609	0.000000	0.000000
2632	0.000000	0.000000
2653	0.000000	0.000000
2675	0.000000	0.000000
2698	0.000000	0.000000
2719	0.000000	0.000000
2742	0.000000	0.000000
2764	0.000000	0.000000
2785	0.000000	0.000000
2807	0.000000	0.000000
2828	0.000000	0.000000
2897	1.000000	0.000000
2927	0.000000	0.000000
2996	1.000000	0.000000
3017	0.000000	0.000000
3041	0.000000	0.000000
3063	0.000000	0.000000
3084	0.000000	0.000000
3105	0.000000	0.000000
3126	0.000000	0.000000
3147	0.000000	0.000000
3170	0.000000	0.000000
3191	0.000000	0.000000
3213	0.000000	0.000000
3234	0.000000	0.000000
3255	0.000000	0.000000
3276	0.000000	0.000000
3299	0.000000	0.000000
3320	0.000000	0.000000
3343	0.000000	0.000000
3365	0.000000	0.000000
3388	0.000000	0.000000
3409	0.000000	0.000000
3431	0.000000	0.000000
3452	0.000000	0.000000
3473	0.000000	0.000000
3494	0.000000	0.000000
3515	0.000000	0.000000
3536	0.000000	0.000000
3558	0.000000	0.000000
3607	1.000000	0.000000
3628	0.000000	0.000000
3651	0.000000	0.000000
3706	1.000000	0.000000
3732	0.000000	0.000000
3753	0.000000	0.000000
3775	0.000000	0.000000
3796	0.000000	0.000000
3819	0.000000	0.000000
3840	0.000000	0.000000
3889	1.000000	0.000000
3912	0.000000	0.000000
3934	0.000000	0.000000
3957	0.000000	0.000000
3983	0.000000	0.000000
4005	0.000000	0.000000
4026	0.000000	0.000000
4093	1.000000	0.000000
4115	0.000000	0.000000
4136	0.000000	0.000000
4218	2.000000	0.000000
4240	0.000000	0.000000
4263	0.000000	0.000000
4288	0.000000	0.000000
4310	0.000000	0.000000
4334	0.000000	0.000000
4355	0.000000	0.000000
4376	0.000000	0.000000
4397	0.000000	0.000000
4418	0.000000	0.000000
4439	0.000000	0.000000
4461	0.000000	0.000000
4483	0.000000	0.000000
4504	0.000000	0.000000
4525	0.000000	0.000000
4549	0.000000	0.000000
4570	0.000000	0.000000
4593	0.000000	0.000000
4614	0.000000	0.000000
4635	0.000000	0.000000
4684	1.000000	0.000000
4706	0.000000	0.000000
4728	0.000000	0.000000
4749	0.000000	0.000000
4770	0.000000	0.000000
4791	0.000000	0.000000
4812	0.000000	0.000000
4833	0.000000	0.000000
4854	0.000000	0.000000
4876	0.000000	0.000000
4946	1.000000	0.000000
4968	0.000000	0.000000
4989	0.000000	0.000000
5011	0.000000	0.000000
5034	0.000000	0.000000
5055	0.000000	0.000000
5077	0.000000	0.000000
5098	0.000000	0.000000
5120	0.000000	0.000000
5141	0.000000	0.000000
5164	0.000000	0.000000
5214	1.000000	0.000000
5236	0.000000	0.000000
5258	0.000000	0.000000
5280	0.000000	0.000000
5302	0.000000	0.000000
5327	0.000000	0.000000
5349	0.000000	0.000000
5372	0.000000	0.000000
5394	0.000000	0.000000
5416	0.000000	0.000000
5437	0.000000	0.000000
5535	2.000000	0.000000
5560	0.000000	0.000000
5581	0.000000	0.000000
5603	0.000000	0.000000
5625	0.000000	0.000000
5646	0.000000	0.000000
5667	0.000000	0.000000
5688	0.000000	0.000000
5711	0.000000	0.000000
5877	3.000000	0.000000
5902	0.000000	0.000000
5923	0.000000	0.000000
5946	0.000000	0.000000
5968	0.000000	0.000000
5989	0.000000	0.000000
6010	0.000000	0.000000
6033	0.000000	0.000000
6054	0.000000	0.000000
6075	0.000000	0.000000
6148	1.000000	0.000000
6169	0.000000	0.000000
6190	0.000000	0.000000
6212	0.000000	0.000000
6237	0.000000	0.000000
6336	2.000000	0.000000
6359	0.000000	0.000000
6380	0.000000	0.000000
6404	0.000000	0.000000
6425	0.000000	0.000000
6446	0.000000	0.000000
6519	1.000000	0.000000
6540	0.000000	0.000000
6562	0.000000	0.000000
6583	0.000000	0.000000
6604	0.000000	0.000000
6654	1.000000	0.000000
6678	0.000000	0.000000
6699	0.000000	0.000000
6720	0.000000	0.000000
6742	0.000000	0.000000
6814	1.000000	0.000000
6836	0.000000	0.000000
6857	0.000000	0.000000
6878	0.000000	0.000000
6901	0.000000	0.000000
6922	0.000000	0.000000
7053	3.000000	0.000000
7074	0.000000	0.000000
7095	0.000000	0.000000
7118	0.000000	0.000000
7139	0.000000	0.000000
